id,author_translation_note,isbn,pub_date
251,"by Honoré de Balzac, edited and with an introduction by Peter Brooks, a new translation from the French by  Linda Asher, Carol Cosman, and Jordan Stump",9781590176641,"January 14, 2014"
252,Ghost stories chosen and illustrated by Edward Gorey,9780940322684,"February 28, 2001"
253,by Simon Leys,9781590176207,"July 30, 2013"
254,"by Kingsley Amis, introduction by Michael Dirda",9781590176160,"May 7, 2013"
255,"by Josep Pla, introduction by Valentí Puig, new translation from the Catalan by Peter Bush",9781590176719,"April 8, 2014"
256,"by T.H. White, introduction by Marie Winn",9781590172490,"October 2, 2007"
257,"by  Shchedrin, introduction by James Wood, translated from the Russian by Natalie Duddington",9780940322578,"May 31, 2001"
258,"by L.P. Hartley, introduction by Colm Tóibín",9780940322998,"March 31, 2002"
259,"by Ernst Junger, introduction by Bruce Sterling, translated from the German by Elizabeth Mayer and Louise Bogan",9780940322554,"September 30, 2000"
260,"by Natsume Soseki, introduction by Pico Iyer, translated from the Japanese by William F. Sibley",9781590175873,"December 4, 2012"
261,"by John Horne Burns, introduction by Paul Fussell",9781590170809,"March 31, 2004"
262,"by Janet Hobhouse, introduction by Daphne Merkin",9781590170854,"September 30, 2004"
263,"by Richard Hughes, introduction by Hilary Mantel",9780940322295,"February 28, 2001"
264,"by Rebecca West, introduction by Andrea Barrett",9781590170342,"December 31, 2002"
265,"by Andrey Platonov, translated from the Russian by Robert Chandler, Elizabeth Chandler, and  Olga Meerson",9781590173053,"April 21, 2009"
266,"by Der Nister, introduction by David Malouf, translated by Leonard Wolf",9781590172797,"May 20, 2008"
267,"by Arthur Conan Doyle, introduction by George MacDonald Fraser",9780940322738,"April 30, 2001"
268,"by Dorothy B. Hughes, afterword by Walter Mosley",9781590174951,"July 3, 2012"
269,"by Elizabeth von Arnim, introduction by Cathleen Schine",9781590172254,"April 3, 2007"
270,by Russell Page,9781590172315,"July 10, 2007"
271,"by Elaine Dundy, introduction by Terry Teachout",9781590172322,"June 5, 2007"
272,"by Magda Szabó, introduction by Ali Smith, a new translation from the Hungarian by Len Rix",9781590177716,"January 27, 2015"
273,"by Bolesław Prus, introduction by Stanisław Barańczak, translated from the Polish by David Welsh",9781590173831,"February 8, 2011"
274,"by Simon Leys, translated from the French by Patricia Clancy",9781590178423,"May 5, 2015"
275,"by Leonardo Sciascia, introduction by George Scialabba, translated from the Italian by Archibald Colquhoun and Anthony Oliver",9781590170618,"September 30, 2003"
276,"by Harold W. Cruse, introduction by Stanley Crouch",9781590171356,"June 30, 2005"
277,"by Paul Hazard, introduction by Anthony Grafton, translated from the French by J. Lewis May",9781590176191,"April 9, 2013"
278,"by Mavis Gallant, introduction by Jhumpa Lahiri",9781590173275,"September 29, 2009"
279,"by Francis Wyndham, introduction by Alan Hollinghurst",9781590173121,"May 5, 2009"
280,"by John Wyndham, introduction by Christopher Priest",9781590172926,"November 18, 2008"
281,"by Jules Valles, edited and with an introduction by Douglas Parmee",9781590171172,"January 31, 2005"
282,"by Victor Serge, introduction by Susan Sontag, translated from the French by Willard R. Trask",9781590170649,"June 30, 2004"
283,"by Alexander Pushkin, introduction by Robert Chandler, translated from the Russian by Robert Chandler and Elizabeth Chandler",9781590177242,"September 2, 2014"
284,"by Bela Zombory-Moldovan, a new translation from the Hungarian by Peter Zombory-Moldovan",9781590178096,"August 5, 2014"
285,"by Patrick Leigh Fermor, edited by Colin Thubron and Artemis Cooper",9781590177792,"January 20, 2015"
286,"by Simone Schwarz-Bart, introduction by Jamaica Kincaid, translated from the French by Barbara Bray",9781590176801,"August 20, 2013"
287,"by Girolamo Cardano, introduction by Anthony Grafton, translated from the Italian by Jean Stoner",9781590170168,"October 31, 2002"
288,"by G.B. Edwards, introduction by John Fowles",9781590172339,"July 10, 2007"
289,"by P.V. Glob, introduction by Elizabeth Wayland Barber, introduction by Paul T. Barber, translated from the Danish by Rupert Bruce-Mitford",9781590170908,"August 31, 2004"
290,"by Jeremias Gotthelf, a new translation from the German by Susan Bernofsky",9781590176689,"October 8, 2013"
291,"by Kenneth Fearing, introduction by Nicholas Christopher",9781590171813,"July 18, 2006"
292,"by Nirad C. Chaudhuri, introduction by Ian Jack",9780940322820,"September 30, 2001"
293,"by Robert Burton, introduction by William H. Gass",9780940322660,"April 30, 2001"
294,"by Kingsley Amis, introduction by William Gibson",9781590176177,"May 7, 2013"
295,"by Gyula Krudy, translated from the Hungarian and with an introduction by George Szirtes",9781590174456,"November 8, 2011"
296,"by Alvaro Mutis, introduction by Francisco Goldman, translated from the Spanish by Edith Grossman",9780940322912,"February 1, 2002"
297,"by Carlo Emilio Gadda, introduction by Italo Calvino, translated from the Italian by William Weaver",9781590172223,"February 27, 2007"
298,"by William McPherson, afterword by D. T. Max",9781590176023,"January 8, 2013"
299,"by Linda Rosenkrantz, introduction by Stephen Koch",9781590178447,"July 7, 2015"
300,"by Kingsley Amis, introduction by Christian Lorentzen",9781590177600,"April 28, 2015"
301,"by Gyula Krúdy, introduction by John Lukacs, translated from the Hungarian by John Bátki",9781590171868,"August 14, 2007"
302,"by Sylvia Townsend Warner, introduction by Claire Harman",9781590173169,"June 16, 2009"
303,"by Elizabeth David, foreword by Molly O'Neill",9781590170045,"April 30, 2002"
304,"by Robert Sheckley, edited and with an introduction by Jonathan Lethem and Alex Abramovich",9781590174944,"May 1, 2012"
305,"by Tim Robinson, introduction by Robert Macfarlane",9781590172773,"August 5, 2008"
306,"by Tim Robinson, introduction by John Elder",9781590173145,"September 22, 2009"
307,"by John Williams, introduction by John McGahern",9781590171998,"June 20, 2006"
308,"by Renata Adler, afterword by Guy Trebay",9781590176139,"March 19, 2013"
309,"by Jakov Lind, introduction by Michael Kruger, translated from the German by Ralph Manheim",9781590173305,"January 5, 2010"
310,"by Andrey Platonov, introduction by Robert Chandler, afterword by John Berger, translated from the Russian by Robert and Elizabeth Chandler with Katia Grigoruk, Angela Livingstone, Olga Meerson, and Eric Naiman",9781590172544,"December 4, 2007"
311,"by  Kabir, selected and translated from the Hindi by Arvind Krishna Mehrotra, preface by Wendy Doniger",9781590173794,"April 5, 2011"
312,"by Peter Handke, introduction by Benjamin Kunkel, translated from the German by Ralph Manheim",9781590173077,"March 31, 2009"
313,"by Elizabeth Hardwick, introduction by Geoffrey O'Brien",9780940322721,"August 31, 2001"
314,"by Dezső Kosztolányi, introduction by Péter Esterházy, translated from the Hungarian by Richard Aczel",9781590173398,"March 2, 2010"
315,"by Peter Handke, introduction by Greil Marcus, translated from the German by Ralph Manheim",9781590173060,"March 31, 2009"
316,"by Robert Montgomery Bird, introduction by Christopher Looby",9781590172292,"January 15, 2008"
317,by Richard Holmes,9781590170373,"May 31, 2003"
318,"by Michel de Montaigne, edited and with an introduction by Stephen Greenblatt, edited, modernized, and annotated by Peter Platt, translated from the French by John Florio",9781590177228,"April 8, 2014"
319,"by Mark Van Doren, foreword by David Lehman",9781590171684,"August 31, 2005"
320,edited by D. Thin,9781590179437,"October 6, 2015"
321,"by Max Beerbohm, introduction by John Updike",9780940322547,"October 31, 2000"
322,"by Elizabeth Hardwick, introduction by Joan Didion",9780940322783,"August 31, 2001"
323,"by Tayeb Salih, introduction by Laila Lalami, translated from the Arabic by Denys Johnson-Davies",9781590173022,"April 14, 2009"
324,"by Olivia Manning, introduction by Jane Smiley",9781590173039,"February 3, 2009"
325,"by Patrick Leigh Fermor, introduction by Patricia Storace",9781590171875,"June 6, 2006"
326,"by Geoffrey Household, introduction by Victoria Nelson",9781590172438,"November 6, 2007"
327,"by Adalbert Stifter, introduction by W.H. Auden, translated from the German by Elizabeth Mayer and Marianne Moore",9781590172858,"September 16, 2008"
328,"by Emmett Grogan, introduction by Peter Coyote",9781590172865,"October 14, 2008"
329,"by Patrick White, introduction by David Malouf",9781590170021,"April 30, 2002"
330,"by Raymond Kennedy, introduction by Katherine A. Powers",9781590174890,"June 19, 2012"
331,"by Margaret Leech, introduction by James M. McPherson",9781590174463,"June 7, 2011"
332,"by Jean Renoir, introduction by Robert L. Herbert, translated from the French by Randolph and Dorothy Weaver",9780940322776,"September 30, 2001"
333,"by Victor Segalen, translated from the French by J.A. Underwood",9781590170410,"July 31, 2003"
334,"by Sir Thomas Browne, edited and with an introduction by Stephen Greenblatt and Ramie Targoff",9781590174883,"August 7, 2012"
335,by Alan Garner,9781590174432,"October 25, 2011"
336,"by Edward John Trelawny, introduction by Anne Barton",9780940322363,"May 31, 2000"
337,edited by Randall Jarrell,9781590170052,"June 30, 2002"
338,"by Albert Cossery, introduction by Alyson Waters, translated from the French by Thomas W. Cushing",9781590174425,"December 27, 2011"
339,"by David Mendel, introduction by Jerome Groopman",9781590176214,"September 24, 2013"
340,"by  Aeschylus, translated and with an introduction by Joel Agee",9781590178607,"March 24, 2015"
341,"by Jean Genet, introduction by Ahdaf Soueif, translated from the French by Barbara Bray",9781590170281,"January 31, 2003"
342,"by Alexander Berkman, introduction by John William Ward",9780940322349,"September 30, 1999"
343,"by Paul Radin, preface by Neni Panourgia, foreword by John Dewey",9781590177686,"February 21, 2017"
344,"by Jessica Mitford, preface by Jane Smiley",9781590173558,"September 7, 2010"
345,"by Gilbert Highet, preface by Michael C. J. Putnam",9781590173381,"March 16, 2010"
346,edited and translated by A.C. Graham,9781590172575,"January 22, 2008"
347,"by Dino Buzzati, translated from the Italian by Marina Harss",9781590173237,"October 6, 2009"
348,"by Renata Adler, afterword by Muriel Spark",9781590176146,"March 19, 2013"
349,"by Carlo Collodi, introduction by Umberto Eco, afterword by Rebecca West, translated from the Italian by Geoffrey Brock",9781590172896,"November 18, 2008"
350,by David Kidd,9781590170403,"July 31, 2003"
351,"by Georges Simenon, introduction by Luc Sante, translated from the French by Robert Baldick",9781590173510,"July 20, 2010"
352,"by Anton Chekhov, introduction by Edmund Wilson, translated from the Russian by Constance Garnett",9780940322141,"September 30, 1999"
353,"by Murray Kempton, introduction by David Remnick",9781590170878,"May 31, 2004"
354,"by Mavis Gallant, selected and with an introduction by Michael Ondaatje",9781590170229,"October 31, 2002"
355,by Richard Cobb,9781590170823,"March 31, 2004"
356,"by Edmond and Jules de Goncourt, foreword by Geoff Dyer, edited and translated from the French by Robert Baldick",9781590171905,"November 14, 2006"
357,"by Eliza Fay, introduction by Simon Winchester, annotated by E.M. Forster",9781590173367,"February 2, 2010"
358,"by Katharine White, edited and with an introduction by E.B. White",9781590178508,"March 17, 2015"
359,"by Kingsley Amis, introduction by David Lodge",9781590176627,"September 17, 2013"
360,"by Malcolm Braly, introduction by Jonathan Lethem",9780940322967,"January 31, 2002"
361,"by Simone Weil, a new translation from the French and with an introduction by  Simon Leys, with a biographical essay by  Czeslaw Milosz",9781590177815,"September 30, 2014"
362,"by William H. Gass, introduction by Michael Gorra",9781590177181,"March 11, 2014"
363,"by Félix Fénéon, translated and with an introduction by Luc Sante",9781590172308,"August 21, 2007"
364,"by Vivant Denon, introduction by Peter Brooks, translated from the French by Lydia Davis",9781590173268,"October 13, 2009"
365,"by Tibor Déry, introduction by George Szirtes, translated from the Hungarian by Edward Hyams",9781590173183,"July 7, 2009"
366,by Harvey Swados,9781590170847,"May 31, 2004"
367,"by William Lindsay Gresham, introduction by Nick Tosches",9781590173480,"April 6, 2010"
368,"by Jules Renard, illustrated by Pierre Bonnard, translated from the French by Douglas Parmée",9781590173640,"December 7, 2010"
369,"by George R. Stewart, introduction by Matt Weiland",9781590172735,"July 1, 2008"
370,"by Eileen Chang, introduction by Perry Link",9781590178348,"June 16, 2015"
371,"by J. R. Ackerley, introduction by W.H. Auden",9780940322127,"September 30, 1999"
372,"by Théophile Gautier, translated and with an introduction by Richard Holmes",9781590172711,"August 1, 2008"
373,"by Alfred Hayes, introduction by David Thomson",9781590176672,"July 23, 2013"
374,"by J. R. Ackerley, introduction by Elizabeth Marshall Thomas",9781590174142,"August 24, 2010"
375,"by Aleksander Wat, foreword by Czeslaw Milosz, translated from the Polish by Richard Lourie",9781590170656,"December 31, 2003"
376,"by Sylvia Townsend Warner, introduction by Adam Mars-Jones",9781590174586,"August 16, 2011"
377,"by Nina Berberova, translated from the Russian by Marian Schwartz and Richard D. Sylvester",9781590171370,"June 30, 2005"
378,"by Georges Bernanos, introduction by Fanny Howe, translated from the French by J.C. Whitehouse",9781590171516,"November 21, 2005"
379,"by J.F. Powers, introduction by Elizabeth Hardwick",9780940322233,"May 31, 2000"
380,"by Blaise Cendrars, introduction by Paul La Farge, translated from the French by Alan Brown",9781590170632,"August 31, 2004"
381,"by Céleste Albaret, foreword by André Aciman, translated from the French by Barbara Bray",9781590170595,"October 31, 2003"
382,"by Henri Michaux, introduction by Octavio Paz, translated from the French by Louise Varese",9781590170014,"April 30, 2002"
383,"by Victor Serge, translated from the French and with an introduction by  Richard Greeman",9781590177709,"December 16, 2014"
384,"by Sigizmund Krzhizhanovsky, translated from the Russian and with an introduction by Joanne Turnbull",9781590173190,"October 6, 2009"
385,"by Daniel Paul Schreber, introduction by Rosemary Dinnage",9780940322202,"January 31, 2000"
386,"by John Glassco, introduction by Louis Begley",9781590171844,"May 29, 2007"
387,"by Edmund Wilson, introduction by Louis Menand",9781590170939,"September 30, 2004"
388,"by Gregor von Rezzori, introduction by Deborah Eisenberg, translated by Joachim Neugroschel",9781590172469,"December 4, 2007"
389,"by Victor Serge, foreword by Adam Hochschild, notes by Richard Greeman, translated from the French by Peter Sedgwick with George Paizis",9781590174517,"May 1, 2012"
390,"by Yashar Kemal, translated from the Turkish by Edouard Roditi",9781590171394,"June 30, 2005"
391,"by James McCourt, introduction by Wayne Koestenbaum",9780940322974,"February 1, 2002"
392,"by Dwight Macdonald, introduction by Louis Menand, edited by John Summers",9781590174470,"October 6, 2011"
393,"by May Sinclair, introduction by Katha Pollitt",9780940322868,"June 30, 2002"
394,"by Ivy Compton-Burnett, introduction by Diane Johnson",9780940322639,"February 28, 2001"
395,"by Patrick Leigh Fermor, introduction by Michael Gorra",9781590171882,"June 6, 2006"
396,"by Nancy Mitford, introduction by Amanda Foreman",9780940322653,"March 31, 2001"
397,"by Kingsley Amis, introduction by Keith Gessen",9781590175750,"October 2, 2012"
398,"by Gillian Rose, introduction by Michael Wood",9781590173657,"May 31, 2011"
399,"by Eileen Chang, translated from the Chinese by Karen S. Kingsbury and Eileen Chang",9781590171783,"October 10, 2006"
400,"by Sylvia Townsend Warner, introduction by Alison Lurie",9780940322165,"September 30, 1999"
401,"by Vasily Grossman, translated from the Russian and with an introduction by Robert Chandler",9781590172018,"May 16, 2006"
402,"by Astolphe de Custine, introduction by Anka Muhlstein",9780940322813,"April 30, 2002"
403,"by Boris Pasternak, Rainer Maria Rilke, and Marina Tsvetayeva, appendix and epilogue by Jamey Gambrell, translated by Margaret Wettlin, Walter Arndt, and Jamey Gambrell",9780940322714,"October 31, 2001"
404,"by Qiu Miaojin, translated from the Chinese and with an afterword by Ari Larissa Heinrich",9781590177259,"June 3, 2014"
405,"by Curzio Malaparte, afterword by Dan Hofstadter, translated from the Italian by Cesare Foligno",9781590171479,"June 30, 2005"
406,"by Stefan Zweig, introduction by André Aciman, translated from the German by Anthea Bell",9781590173671,"November 23, 2010"
407,"by Antal Szerb, introduction by Julie Orringer, a new translation from the Hungarian by Len Rix",9781590177730,"October 7, 2014"
408,"by Arun Kolatkar, introduction by Amit Chaudhuri",9781590171639,"November 7, 2005"
409,"by Robert Walser, translated and with an introduction by Christopher Middleton",9780940322219,"September 30, 1999"
410,"by Theodor Fontane, afterword by Phillip Lopate, translated from the German by Douglas Parmée",9781590173749,"February 15, 2011"
411,"by William Dean Howells, introduction by Wendy Lesser",9781590171097,"September 30, 2004"
412,"by William H. Gass, introduction by Joanna Scott",9781590177648,"November 4, 2014"
413,written and with an afterword by Janet Malcolm,9781590170274,"November 30, 2002"
414,by David Jones,9781590170366,"July 31, 2003"
415,"by Alfred Hayes, introduction by Frederic Raphael",9781590176665,"July 23, 2013"
416,"by Richard Hughes, introduction by John Crowley",9781590172728,"August 12, 2008"
417,"by Vladimir Sorokin, translated from the Russian by Jamey Gambrell",9781590173862,"March 15, 2011"
418,"by Jessica Mitford, introduction by Christopher Hitchens",9781590171103,"September 30, 2004"
419,"by J. R. Ackerley, introduction by Eliot Weinberger",9780940322257,"January 31, 2000"
420,"by Emmanuel Bove, introduction by Donald Breckenridge, translated from the French by Alyson Waters",9781590178324,"July 13, 2015"
421,"by Jan Morris, introduction by Ursula K. Le Guin",9781590174494,"August 30, 2011"
422,"by Don Carpenter, introduction by George Pelecanos",9781590173244,"September 8, 2009"
423,"by Andrey Platonov, translated from the Russian by Robert Chandler and Elizabeth Chandler",9781590175859,"November 13, 2012"
424,"by Fr. Rolfe, introduction by Alexander Theroux",9780940322622,"March 31, 2001"
425,"by Paul Goodman, foreword by Casey Nelson Blake, with an essay by Susan Sontag",9781590175811,"September 11, 2012"
426,"by Euripides, a new translation by Anne Carson",9781590172537,"August 1, 2006"
427,"by Erich Kastner, introduction by Rodney Livingstone, translated from the German by Cyrus Brooks",9781590175842,"November 6, 2012"
428,"by Kingsley Amis, introduction by Howard Jacobson",9781590176634,"September 17, 2013"
429,"by Nancy Mitford, introduction by Liesl Schillinger",9781590176238,"July 23, 2013"
430,"by Olivia Manning, introduction by Anthony Sattin",9781590177211,"June 10, 2014"
431,"by Olivia Manning, introduction by Rachel Cusk",9781590173312,"January 19, 2010"
432,"by Francis Steegmuller, introduction by Victor Brombert",9781590171165,"November 30, 2004"
433,"by S. Josephine Baker, introduction by Helen Epstein",9781590177068,"September 24, 2013"
434,"by Gabriel Chevallier, introduction by John Berger, translated from the French by Malcolm Imrie",9781590177167,"May 20, 2014"
435,"by Jean-Patrick Manchette, afterword by Jean Echenoz, translated from the French by Donald Nicholson-Smith",9781590173817,"April 26, 2011"
436,"by John Collier, introduction by Ray Bradbury",9781590170519,"May 31, 2003"
437,"by Tove Jansson, introduction by Ali Smith, translated from the Swedish by Thomas Teal",9781590173787,"March 15, 2011"
438,"by Vasily Grossman, introduction by Robert Chandler, translated from the Russian by Robert Chandler, Elizabeth Chandler, and Anna Aslanyan",9781590173282,"December 1, 2009"
439,"by L.P. Hartley, introduction by Anita Brookner",9780940322806,"August 1, 2001"
440,"by Leonardo Sciascia, introduction by Carlin Romano, translated from the Italian by Adrienne Foulke",9781590170625,"October 31, 2003"
441,"by Yuri Olesha, introduction by Ken Kalfus, translated from the Russian by Marian Schwartz",9781590170861,"May 31, 2004"
442,"by Upamanyu Chatterjee, introduction by Akhil Sharma",9781590171790,"April 4, 2006"
443,"by Kingsley Amis, introduction by Craig Brown",9781590177594,"April 28, 2015"
444,"by Joan Chase, introduction by Meghan O'Rourke",9781590177150,"April 15, 2014"
445,"by Daphne du Maurier, selected and with an introduction by Patrick McGrath",9781590172889,"October 28, 2008"
446,by Charles Simic,9781590174869,"September 20, 2011"
447,"by Friedrich Reck, afterword by Richard J. Evans, translated from the German by Paul Rubens",9781590175866,"February 12, 2013"
448,"by Philippe-Paul de Ségur, introduction by Mark Danner, translated from the French by J. David Townsend",9781590172827,"October 21, 2008"
449,"by Kingsley Amis, foreword by Rachel Cusk",9781590178249,"August 4, 2015"
450,"by Nikolai Gogol, translated from the Russian and with an introduction by Donald Rayfield",9781590173763,"July 17, 2012"
451,"by Erich Auerbach, introduction by Michael Dirda",9781590172193,"January 16, 2007"
452,"by Bohumil Hrabal, introduction by Adam Thirlwell, translated from the Czech by Michael Henry Heim",9781590173770,"May 3, 2011"
453,"by Raymond Radiguet, translated from the French by Annapaola Cancogni",9781590171387,"March 31, 2005"
454,"by Caroline Blackwood, afterword by Andrew Solomon",9781590170069,"August 1, 2002"
455,"by Sanford Friedman, introduction by Richard Howard",9781590177624,"September 2, 2014"
456,written and with a new introduction by Jan Morris,9781590171899,"May 16, 2006"
457,"by Alberto Moravia, introduction by Tim Parks, translated from the Italian by Angus Davidson",9781590171226,"July 31, 2004"
458,"by Victor Serge, translated from the French and with an introduction by Richard Greeman",9781590173664,"January 11, 2011"
459,"by Stefan Zweig, introduction by George Prochnik, translated from the German by Anthea Bell",9781590174999,"May 29, 2012"
460,"by William Roughead, introduction by Luc Sante",9780940322462,"August 31, 2000"
461,"by Kenneth Fearing, introduction by Robert Polito",9781590171820,"October 17, 2006"
462,"by Gabriel García Márquez, preface by Francisco Goldman, translated from the Spanish by Asa Zatz",9781590173404,"July 6, 2010"
463,"by John Wyndham, afterword by Margaret Atwood",9781590178522,"August 18, 2015"
464,"by Stefan Zweig, introduction by Peter Gay, translated from the German by Joel Rotenberg",9781590171691,"December 9, 2005"
465,"by Henry de Montherlant, introduction by Gary Indiana, translated from the French by Terence Kilmartin",9781590173046,"February 17, 2009"
466,"by Dorothy Baker, afterword by Deborah Eisenberg",9781590176016,"August 21, 2012"
467,"by John Williams, introduction by Michelle Latiolais",9781590171981,"January 16, 2007"
468,"by Margot Wittkower and Rudolf Wittkower, introduction by Joseph Connors",9781590172131,"November 28, 2006"
469,"by Alberto Moravia, introduction by William Weaver, translated from the Italian by Angus Davidson",9781590171219,"July 31, 2004"
470,"by William Attaway, introduction by Darryl Pinckney",9781590171349,"January 31, 2005"
471,by Geoffrey Wolff,9781590170663,"August 31, 2003"
472,"by Stefan Zweig, introduction by Joan Acocella, translated from the German by Phyllis and Trevor Blewitt",9781590172001,"June 20, 2006"
473,"by Patrick Leigh Fermor, introduction by Jan Morris",9781590171660,"October 3, 2005"
474,"by Robert Walser, edited by Jochen Greven, translated from the German and with an introduction by Susan Bernofsky",9781590174548,"January 24, 2012"
475,"by Howard Sturgis, introduction by Edmund White, afterword by E.M. Forster",9781590172667,"March 4, 2008"
476,"by Intizar Husain, introduction by Asif Farrukhi, translated by Frances W. Pritchett",9781590175828,"December 26, 2012"
477,"by Sigizmund Krzhizhanovsky, introduction by Adam Thirlwell, a new translation from the Russian by Joanne Turnbull",9781590176702,"December 3, 2013"
478,"by John Williams, introduction by Daniel Mendelsohn",9781590178218,"August 19, 2014"
479,"by Adolfo Bioy Casares, introduction by James Sallis, translated from the Spanish by Suzanne Jill Levine",9781590170953,"August 31, 2004"
480,"by Italo Svevo, introduction by James Lasdun, translated from the Italian by Beryl de Zoete",9780940322844,"September 30, 2001"
481,"by Glenway Wescott, introduction by David Leavitt",9781590170816,"April 30, 2004"
482,"by Angus Wilson, introduction by Jane Smiley",9781590171424,"March 15, 2005"
483,"by Elizabeth Taylor, introduction by Hilary Mantel",9781590174975,"February 14, 2012"
484,"by Gregor von Rezzori, introduction by Daniel Kehlmann, translated from the German by Philip Boehm",9781590173411,"January 10, 2012"
485,"by Vasily Grossman, translated from the Russian and with an introduction by Robert Chandler, With an introduction and notes by Yury Bit-Yunan, additional translation by Elizabeth Chandler",9781590176184,"February 19, 2013"
486,"by Tete-Michel Kpomassie, introduction by Al Alvarez, translated from the French by James Kirkup",9780940322882,"October 31, 2001"
487,"by  Nescio, introduction by Joseph O'Neill, translated from the Dutch by Damion Searls",9781590174920,"March 20, 2012"
488,"by Constance Rourke, introduction by Greil Marcus",9781590170793,"February 29, 2004"
489,"by G.V. Desani, introduction by Anthony Burgess",9781590172421,"November 6, 2007"
490,"by Guy de Maupassant, translated from the French and with a preface by Richard Howard",9781590172605,"December 8, 2009"
491,"by Jean Strouse, preface by Colm Tóibín",9781590174531,"November 1, 2011"
492,"by James Schuyler, introduction by John Ashbery",9780940322493,"November 30, 2000"
493,"by Ronald Blythe, introduction by Matt Weiland",9781590178300,"September 22, 2015"
494,"by Alberto Moravia, translated from the Italian by Michael F. Moore",9781590177235,"July 8, 2014"
495,"by Iris Owens, introduction by Emily Prager",9781590173633,"November 9, 2010"
496,"by Guy de Maupassant, translated and with an introduction by Douglas Parmée",9781590172599,"April 29, 2008"
497,"by Georges Simenon, introduction by Roger Ebert, translated from the French by Louise Varese",9781590173855,"October 18, 2011"
498,"by Darcy O'Brien, introduction by Seamus Heaney",9780940322790,"August 31, 2001"
499,"by Elizabeth Taylor, introduction by Roxana Robinson",9781590178485,"June 2, 2015"
500,"by Patrick Leigh Fermor, introduction by Karen Armstrong",9781590172445,"October 30, 2007"
501,"by Patrick Leigh Fermor, introduction by Jan Morris",9781590171653,"October 3, 2005"
502,"by Robert Walser, introduction by Ben Lerner, translated from the German by Damion Searls",9781590176726,"September 3, 2013"
503,"by Sasha Sokolov, a new translation from the Russian by Alexander Boguslawski",9781590178461,"November 17, 2015"
504,by Alistair Horne,9781590172186,"October 10, 2006"
505,"by Marcellus Emants, translated from the Dutch and with an introduction by J.M. Coetzee",9781590173473,"February 22, 2011"
506,"by J. L. Carr, introduction by Michael Holroyd",9780940322479,"October 31, 2000"
507,"by L. J. Davis, introduction by Jonathan Lethem",9781590173008,"March 10, 2009"
508,"by Sybille Bedford, introduction by Brenda Wineapple",9781590178263,"March 3, 2015"
509,"by Frigyes Karinthy, introduction by Oliver Sacks, translated from the Hungarian by Vernon Duckworth Barker",9781590172582,"March 11, 2008"
510,"by Ivy Compton-Burnett, afterword by Francine Prose",9780940322646,"February 28, 2001"
511,"by Richard Hughes, introduction by Francine Prose",9780940322158,"September 30, 1999"
512,"by Charles Duff, introduction by Christopher Hitchens",9780940322677,"October 31, 1999"
513,"by Elizabeth Taylor, introduction by Caleb Crain",9781590174968,"February 14, 2012"
514,"by Natalia Ginzburg, afterword by Peg Boyers, translated from the Italian by Jenny McPhee",9781590178386,"April 25, 2017"
515,"by Elizabeth David, foreword by Clarissa Dickson Wright",9781590170038,"April 30, 2002"
