Column 1,subclass of,subclass of2,subclass of3,subclass of4,subclass of5,subclass of6,subclass of7,subclass of8,subclass of9
Arabic,Arabic languages,Central Semitic languages,West Semitic languages,Semitic languages,Afro-Asiatic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,Semitic languages,Afro-Asiatic languages,human language,language,languoid,abstract object,object,entity,
,,,,language,languoid,abstract object,object,entity,
,,,,,langage,aptitude,property,category of being,concept
,,,,,,,,quality,entity
,,,,,communication medium,manifestation,artificial physical object,physical object,concrete object
,,,,,,,,artificial entity,object
,,,,,,,,,artefact
,,,,,,information,abstract object,object,entity
,,,,,語支,語族,language family,macrofamily,
,,,,,,,,languoid,abstract object
,,,,,,,languoid,abstract object,object
,,,,,,languoid,abstract object,object,entity
Catalan,Occitano-Romance languages,Gallo-Iberian languages,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
,,,,,,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,,,,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,Iberian Romance languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,Indo-European languages,Eurasiatic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,,,,,Nostratic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,,,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,,,,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
,,,,,,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,,Gallo-Iberian languages,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages
,,,,,,,,,Nostratic languages
,,,,,,,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
,,Gallo-Romance languages,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
,,,,,,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
Chinese,Sino-Tibetan languages,human language,language,languoid,abstract object,object,entity,,
,,,language,languoid,abstract object,object,entity,,
,,,,langage,aptitude,property,category of being,concept,abstract object
,,,,,,,,,mental representation
,,,,,,,quality,entity,
,,,,communication medium,manifestation,artificial physical object,physical object,concrete object,object
,,,,,,,artificial entity,object,concrete object
,,,,,,,,artefact,entity
,,,,,information,abstract object,object,entity,
,,,,語支,語族,language family,macrofamily,,
,,,,,,,languoid,abstract object,object
,,,,,,languoid,abstract object,object,entity
,,,,,languoid,abstract object,object,entity,
,Sinitic languages,Sino-Tibetan languages,human language,language,languoid,abstract object,object,entity,
,,,,language,languoid,abstract object,object,entity,
,,,,,langage,aptitude,property,category of being,concept
,,,,,,,,quality,entity
,,,,,communication medium,manifestation,artificial physical object,physical object,concrete object
,,,,,,,,artificial entity,object
,,,,,,,,,artefact
,,,,,,information,abstract object,object,entity
,,,,,語支,語族,language family,macrofamily,
,,,,,,,,languoid,abstract object
,,,,,,,languoid,abstract object,object
,,,,,,languoid,abstract object,object,entity
Czech,Czech–Slovak languages,West Slavic languages,Slavic languages,Balto-Slavic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
Danish,East Scandinavian languages,North Germanic languages,Germanic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,,,,,Nostratic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
Dutch,Low Franconian languages,Low German,Low German languages,West Germanic languages,Germanic languages,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,Low German languages,West Germanic languages,Germanic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,Franconian languages,West Germanic languages,Germanic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
English,Anglic languages,Anglo-Frisian languages,West Germanic languages,Germanic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
French,Oïl languages,Gallo-Romance languages,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
,,,,,,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
German,High German languages,Low German languages,West Germanic languages,Germanic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
Greek,Hellenic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid,abstract object,object,entity
,,,,,language,languoid,abstract object,object,entity
,,,,,,langage,aptitude,property,category of being
,,,,,,,,,quality
,,,,,,communication medium,manifestation,artificial physical object,physical object
,,,,,,,,,artificial entity
,,,,,,,information,abstract object,object
,,,,,,語支,語族,language family,macrofamily
,,,,,,,,,languoid
,,,,,,,,languoid,abstract object
,,,,,,,languoid,abstract object,object
,,,Nostratic languages,human language,language,languoid,abstract object,object,entity
,,,,,language,languoid,abstract object,object,entity
,,,,,,langage,aptitude,property,category of being
,,,,,,,,,quality
,,,,,,communication medium,manifestation,artificial physical object,physical object
,,,,,,,,,artificial entity
,,,,,,,information,abstract object,object
,,,,,,語支,語族,language family,macrofamily
,,,,,,,,,languoid
,,,,,,,,languoid,abstract object
,,,,,,,languoid,abstract object,object
Hindi,Hindi-Urdu,western Hindi languages,Hindi languages,Central Indo-Aryan languages,Indo-Aryan languages,Indo-Iranian languages,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
Hungarian,Ugric languages,Finno-Ugric languages,Uralic languages,Ural–Altaic languages,human language,language,languoid,abstract object,object
,,,,,,language,languoid,abstract object,object
,,,,,,,langage,aptitude,property
,,,,,,,communication medium,manifestation,artificial physical object
,,,,,,,,information,abstract object
,,,,,,,語支,語族,language family
,,,,,,,,,languoid
,,,,,,,,languoid,abstract object
,,,,Nostratic languages,human language,language,languoid,abstract object,object
,,,,,,language,languoid,abstract object,object
,,,,,,,langage,aptitude,property
,,,,,,,communication medium,manifestation,artificial physical object
,,,,,,,,information,abstract object
,,,,,,,語支,語族,language family
,,,,,,,,,languoid
,,,,,,,,languoid,abstract object
Italian,centro-meridian Italian languages,italo-romanic languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,,,,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,Italo-Dalmatian languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,,,,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
Japanese,Japonic languages,human language,language,languoid,abstract object,object,entity,,
,Sino-Xenic pronunciation,,language,languoid,abstract object,object,entity,,
,,,,langage,aptitude,property,category of being,concept,abstract object
,,,,,,,,,mental representation
,,,,,,,quality,entity,
,,,,communication medium,manifestation,artificial physical object,physical object,concrete object,object
,,,,,,,artificial entity,object,concrete object
,,,,,,,,artefact,entity
,,,,,information,abstract object,object,entity,
,,,,語支,語族,language family,macrofamily,,
,,,,,,,languoid,abstract object,object
,,,,,,languoid,abstract object,object,entity
,,,,,languoid,abstract object,object,entity,
Kannada,Dravidian languages,human language,language,languoid,abstract object,object,entity,,
,,,language,languoid,abstract object,object,entity,,
,,languages of India,,langage,aptitude,property,category of being,concept,abstract object
,,,,,,,,,mental representation
,,,,,,,quality,entity,
,,languages of Pakistan,,communication medium,manifestation,artificial physical object,physical object,concrete object,object
,,,,,,,artificial entity,object,concrete object
,,,,,,,,artefact,entity
,,,,,information,abstract object,object,entity,
,,languages of Afghanistan,,語支,語族,language family,macrofamily,,
,,,,,,,languoid,abstract object,object
,,,,,,languoid,abstract object,object,entity
,,,,,languoid,abstract object,object,entity,
,,Nostratic languages,human language,language,languoid,abstract object,object,entity,
,,,,language,languoid,abstract object,object,entity,
,,,,,langage,aptitude,property,category of being,concept
,,,,,,,,quality,entity
,,,,,communication medium,manifestation,artificial physical object,physical object,concrete object
,,,,,,,,artificial entity,object
,,,,,,,,,artefact
,,,,,,information,abstract object,object,entity
,,,,,語支,語族,language family,macrofamily,
,,,,,,,,languoid,abstract object
,,,,,,,languoid,abstract object,object
,,,,,,languoid,abstract object,object,entity
Occitan,Occitano-Romance languages,Gallo-Iberian languages,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
,,,,,,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,,,,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,Iberian Romance languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,Indo-European languages,Eurasiatic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,,,,,Nostratic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,,,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,,,,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
,,,,,,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
,,,Gallo-Iberian languages,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages
,,,,,,,,,Nostratic languages
,,,,,,,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
,,Gallo-Romance languages,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
,,,,,,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
Polish,Lechitic languages,West Slavic languages,Slavic languages,Balto-Slavic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
Polish,Lechitic languages,West Slavic languages,Slavic languages,Balto-Slavic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
Romanian,Eastern Romance languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,,,,,Nostratic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,,,Indo-European languages,Eurasiatic languages,human language,language,languoid,abstract object,object
,,,,,,language,languoid,abstract object,object
,,,,,,,langage,aptitude,property
,,,,,,,communication medium,manifestation,artificial physical object
,,,,,,,,information,abstract object
,,,,,,,語支,語族,language family
,,,,,,,,,languoid
,,,,,,,,languoid,abstract object
,,,,Nostratic languages,human language,language,languoid,abstract object,object
,,,,,,language,languoid,abstract object,object
,,,,,,,langage,aptitude,property
,,,,,,,communication medium,manifestation,artificial physical object
,,,,,,,,information,abstract object
,,,,,,,語支,語族,language family
,,,,,,,,,languoid
,,,,,,,,languoid,abstract object
Russian,East Slavic languages,Slavic languages,Balto-Slavic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,,,,,Nostratic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
Serbian,Serbo-Croatian,South Slavic languages,Slavic languages,Balto-Slavic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
,,,,,,Nostratic languages,human language,language,languoid
,,,,,,,,language,languoid
,,,,,,,,,langage
,,,,,,,,,communication medium
,,,,,,,,,語支
Spanish,Castilian languages,West Iberian languages,Western Romance languages,Italo-Western languages,Romance languages,Italic languages,Indo-European languages,Eurasiatic languages,human language
,,,,,,,,Nostratic languages,human language
,,,,,,Indo-European languages,Eurasiatic languages,human language,language
,,,,,,,,,language
,,,,,,,Nostratic languages,human language,language
,,,,,,,,,language
Swedish,East Scandinavian languages,North Germanic languages,Germanic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,,,,,Nostratic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
Swedish,East Scandinavian languages,North Germanic languages,Germanic languages,Indo-European languages,Eurasiatic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
,,,,,Nostratic languages,human language,language,languoid,abstract object
,,,,,,,language,languoid,abstract object
,,,,,,,,langage,aptitude
,,,,,,,,communication medium,manifestation
,,,,,,,,,information
,,,,,,,,語支,語族
,,,,,,,,,languoid
Turkish,Oghuz languages,Turkic languages,Altaic languages,Ural–Altaic languages,human language,language,languoid,abstract object,object
,,,,,,language,languoid,abstract object,object
,,,,,,,langage,aptitude,property
,,,,,,,communication medium,manifestation,artificial physical object
,,,,,,,,information,abstract object
,,,,,,,語支,語族,language family
,,,,,,,,,languoid
,,,,,,,,languoid,abstract object
,,,,Nostratic languages,human language,language,languoid,abstract object,object
,,,,,,language,languoid,abstract object,object
,,,,,,,langage,aptitude,property
,,,,,,,communication medium,manifestation,artificial physical object
,,,,,,,,information,abstract object
,,,,,,,語支,語族,language family
,,,,,,,,,languoid
,,,,,,,,languoid,abstract object
Various,,,,,,,,,