Language,Category,Count
LANGUAGE,,515
Easter Altaic,LANGUAGE,4
Japanese,Easter Altaic,4
Finno-Ugric,LANGUAGE,10
Hungarian,Finno-Ugric,10
Germanic,LANGUAGE,341
English,Germanic,290
Danish,Germanic,3
Swedish,Germanic,5
German,Germanic,40
Dutch,Germanic,3
Hellenic,LANGUAGE,3
Greek,Hellenic,3
Indo-Iranian,LANGUAGE,1
Hindi,Indo-Iranian,1
Italic,LANGUAGE,102
Romanian,Italic,1
Catalan,Italic,2
French,Italic,62
Italian,Italic,23
Occitan,Italic,1
Spanish,Italic,13
Sinitic,LANGUAGE,6
Chinese,Sinitic,6
Slavic,LANGUAGE,43
Russian,Slavic,33
Serbian,Slavic,4
Czech,Slavic,2
Polish,Slavic,4
Tamil–Kannada,LANGUAGE,1
Kannada,Tamil–Kannada,1
Turkic,LANGUAGE,1
Turkish,Turkic,1
West Semitic,LANGUAGE,2
Arabic,West Semitic,2
Multiple,LANGUAGE,1
Multiple Languages,Multiple,1